,0,1,2,3,,,
2,Dry opium Farm-gate price (US$/Kg),71,72,1%,67,72,7%
3,Dry opium Trader price (US$/Kg),75,76,2%,72,76,5%
4,Fresh Opium Farm-gate price (US$/Kg),54,52,-3%,52.1,52.3,0.40%
5,Fresh Opium Trader price (US$/Kg),58,57,-3%,58,57,-2%
6,Heroin High Quality,"2,441","2,515",3%,"2,300","2,515",9%
7,Heroin Medium Quality,"1,493","1,562",5%,"1,675","1,562",-7%
8,Methamphetamine (Imported)  (US$/Gram),5.4,5.3,-2%,NA,5.3,NA
9,Methamphetamine (Local)  (US$/Gram),2.9,3,4%,NA,3,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.6,2%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.5,13.8,2%,NA,13.8,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.5,8.9,4%,NA,8.9,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7,7.1,1%,NA,7.1,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.2,6.1,-2%,NA,6.1,NA
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Apr-Mar) 
%",Hilmand,,"Price 
change 
(Apr-Mar) 
%"
1,,20-Mar,20-Apr,,20-Mar,20-Apr,
2,"Farm-gate price 
(US$/Kg)",78,79,1%,108,104,-3%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,April_2020,May_2020,"Change  
%",May_2019,May_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),72,69,-5%,61,69,13%
3,Dry opium Trader price (US$/Kg),76,73,-5%,65,73,12%
4,Fresh Opium Farm-gate price (US$/Kg),52,49,-7%,45,49,8%
5,Fresh Opium Trader price (US$/Kg),57,52,-8%,50,52,5%
6,Heroin High Quality,"2,540","2,496",-2%,"2,122","2,496",18%
7,Heroin Medium Quality,"1,562","1,526",-2%,"1,532","1,526",-0.40%
8,Methamphetamine (Imported)  (US$/Gram),5.3,3.8,-28%,NA,3.8,NA
9,Methamphetamine (Local)  (US$/Gram),3,1.9,-36%,NA,1.9,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-1%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.7,11%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.8,14,1%,NA,14,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.9,8.4,-5%,NA,8.4,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.1,7.4,5%,NA,7.4,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.1,6,-1%,NA,6,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,April_2020,May_2020,"Change  
%",May_2019,May_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),72,69,-5%,61,69,13%
3,Dry opium Trader price (US$/Kg),76,73,-5%,65,73,12%
4,Fresh Opium Farm-gate price (US$/Kg),52,49,-7%,45,49,8%
5,Fresh Opium Trader price (US$/Kg),57,52,-8%,50,52,5%
6,Heroin High Quality,"2,540","2,496",-2%,"2,122","2,496",18%
7,Heroin Medium Quality,"1,562","1,526",-2%,"1,532","1,526",-0.40%
8,Methamphetamine (Imported)  (US$/Gram),5.3,3.8,-28%,NA,3.8,NA
9,Methamphetamine (Local)  (US$/Gram),3,1.9,-36%,NA,1.9,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-1%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.6,0.7,11%,NA,0.7,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),13.8,14,1%,NA,14,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.9,8.4,-5%,NA,8.4,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.1,7.4,5%,NA,7.4,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6.1,6,-1%,NA,6,NA
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(May-Apr) 
%",Hilmand,,"Price 
change 
(May-Apr) 
%"
1,,20-Apr,20-May,,20-Apr,20-May,
2,"Farm-gate price 
(US$/Kg)",79,71,-9%,104,100,-4%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2020,June_2020,"Change  
%",June_2019,June_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),69,66,-4%,59,66,11%
3,Dry opium Trader price (US$/Kg),73,69,-5%,63,69,9%
4,Fresh Opium Farm-gate price (US$/Kg),49,45,-8%,43,45,5%
5,Fresh Opium Trader price (US$/Kg),52,48,-8%,46,48,4%
6,Heroin High Quality,"2,496","2,419",-3%,"2,008","2,419",20%
7,Heroin Medium Quality,"1,526","1,450",-5%,"1,498","1,450",-3%
8,Methamphetamine (Imported)  (US$/Gram),3.8,3.6,-5%,NA,3.6,NA
9,Methamphetamine (Local)  (US$/Gram),1.9,1.8,-8%,NA,1.8,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.6,-7%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),14,14.3,3%,NA,14.3,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.4,8.6,2%,NA,8.6,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.4,7.3,-2%,NA,7.3,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6,5.5,-9%,NA,5.5,NA
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2020,June_2020,"Change  
%",June_2019,June_2020,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),69,66,-4%,59,66,11%
3,Dry opium Trader price (US$/Kg),73,69,-5%,63,69,9%
4,Fresh Opium Farm-gate price (US$/Kg),49,45,-8%,43,45,5%
5,Fresh Opium Trader price (US$/Kg),52,48,-8%,46,48,4%
6,Heroin High Quality,"2,496","2,419",-3%,"2,008","2,419",20%
7,Heroin Medium Quality,"1,526","1,450",-5%,"1,498","1,450",-3%
8,Methamphetamine (Imported)  (US$/Gram),3.8,3.6,-5%,NA,3.6,NA
9,Methamphetamine (Local)  (US$/Gram),1.9,1.8,-8%,NA,1.8,NA
10,Sosegon (Imported)  (US$/Ampoule),0.9,0.9,-2%,NA,0.9,NA
11,Sosegon (Local)  (US$/Ampoule),0.7,0.6,-7%,NA,0.6,NA
12,MDMA ( Tablet -K ) A (US$/Tablet),14,14.3,3%,NA,14.3,NA
13,MDMA ( Tablet -K ) B (US$/Tablet),8.4,8.6,2%,NA,8.6,NA
14,MDMA ( Tablet -K ) C (US$/Tablet),7.4,7.3,-2%,NA,7.3,NA
15,MDMA ( Tablet -K ) D (US$/Tablet),6,5.5,-9%,NA,5.5,NA
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Jun-May) 
%",Hilmand,"Price 
change 
(Jun-May) 
%",,
1,,"May-20
Jun-20",,"May-20
Jun-20",,,
2,"Farm-gate price 
(US$/Kg)","71
66",-8%,"100
97",-3%,,
